soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
soil-3583,0.7043457,0.6901042,-1,0,0.6960042,0.6960042,-1,0,0.9991978,0,0,0,0,0,0,0,0,0.5036254,0.5586773,0.5435092,0.5398866,0.5907541,0.58954,0.5841186,0.5972348,0.6099334,21.8,5.85,1.3932135,110.9262,179,84,2.007409067
soil-360,0.6995646,0.7010905,-1,0,0.705363,0.6998698,-1,0,0.9990785,0,0,0,0,0,0,0,0,0.6300684,0.6696599,0.6586564,0.6554107,0.6825873,0.6881734,0.67893,0.6894445,0.7002507,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
soil-3601,0.703125,0.7027181,-1,0,0.6998698,0.6964111,-1,0,0.9991859,0,0,0,0,0,0,0,0,0.6249245,0.6632711,0.6519751,0.6496009,0.6767537,0.6822541,0.6726482,0.6829882,0.693857,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
soil-3602,0.7027181,0.6960042,-1,0,0.6980388,0.6970215,-1,0,0.9993063,0,0,0,0,0,0,0,0,0.6229512,0.6610252,0.6505122,0.6475023,0.6747008,0.6801783,0.6710445,0.681188,0.6917079,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
soil-3603,0.7035319,0.6951904,-1,0,0.6976318,0.6974284,-1,0,0.9993306,0,0,0,0,0,0,0,0,0.6263676,0.664757,0.6542166,0.6512825,0.6786518,0.6844864,0.6750385,0.6851771,0.6959559,29.3,5.98,1.6543569,225.4539,78.7,160.25,1.979536618
soil-356,0.6986491,0.6964111,-1,0,0.7004802,0.6947835,-1,0,0.9991185,0,0,0,0,0,0,0,0,0.5572312,0.6107364,0.5967093,0.5925308,0.6383938,0.6402168,0.632856,0.6457102,0.6592153,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
soil-3561,0.6964111,0.6974284,-1,0,0.7047526,0.6941732,-1,0,0.9992027,0,0,0,0,0,0,0,0,0.5567861,0.6106104,0.5959386,0.5921096,0.6380066,0.6395665,0.6320851,0.6451547,0.658738,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
soil-3562,0.7006836,0.6972249,-1,0,0.6966146,0.6962077,-1,0,0.9991688,0,0,0,0,0,0,0,0,0.554474,0.6068113,0.5927413,0.5891251,0.6346568,0.6363712,0.6287,0.6414639,0.6549971,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
soil-3563,0.7051595,0.6992595,-1,0,0.6974284,0.6968181,-1,0,0.9991652,0,0,0,0,0,0,0,0,0.5596356,0.6123427,0.5981519,0.5942713,0.6404367,0.6419029,0.634626,0.6477689,0.6613378,21.4,5.61,1.2330276,109.4856,29.4,49,1.931495455
soil-401,0.7027181,0.6989543,-1,0,0.7002767,0.6988525,-1,0,0.999175,0,0,0,0,0,0,0,0,0.495994,0.5478066,0.5357598,0.534267,0.5948534,0.5923195,0.5840575,0.5995388,0.6144511,13.5,5.02,1.0149594,109.4856,67.6,40.5,1.67248001
